,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,Year,UID,Salary,Cap%
62,Chase Budinger,SF,24,MIN,23,1,22.1,3.4,8.3,1.1,3.5,2.3,4.8,1.4,1.8,0.7,2.4,3.1,1.1,0.6,0.3,1.0,1.3,9.4,0.3,0.4,0.7,-0.6,-0.8,-1.4,0.1,2013,budinch01,  885120 ,0.015084101637723888
63,Alec Burks,SG,21,UTA,64,0,17.8,2.5,6.1,0.5,1.4,2.0,4.6,1.4,2.0,0.6,1.7,2.3,1.4,0.5,0.2,1.2,1.8,7.0,0.3,0.7,1.0,-1.9,-0.7,-2.6,-0.2,2013,burksal01,  2171640 ,0.03700881064776155
64,Caron Butler,SF,32,LAC,78,78,24.1,3.9,9.2,1.6,4.2,2.3,5.0,1.0,1.2,0.5,2.3,2.9,1.0,0.7,0.1,0.9,1.8,10.4,1.9,1.6,3.6,-0.1,-1.2,-1.3,0.3,2013,butleca01,  8000000 ,0.13633497503365768
65,Jimmy Butler,SF,23,CHI,82,20,26.0,2.9,6.2,0.5,1.3,2.4,5.0,2.3,2.8,1.7,2.3,4.0,1.4,1.0,0.4,0.8,1.2,8.6,4.4,2.6,7.0,1.0,1.0,2.0,2.1,2013,butleji01,  1097520 ,0.0187037952248675
66,Will Bynum,PG,30,DET,65,0,18.8,3.9,8.3,0.4,1.2,3.5,7.1,1.6,2.0,0.4,1.1,1.5,3.6,0.7,0.1,1.9,2.0,9.8,1.2,0.5,1.7,0.6,-1.6,-1.0,0.3,2013,bynumwi01,  3250000 ,0.05538608360742344
67,Marcus Camby,PF,38,NYK,24,4,10.4,0.7,2.2,0.0,0.0,0.7,2.2,0.3,0.8,1.0,2.3,3.3,0.6,0.3,0.6,0.6,1.2,1.8,-0.4,0.4,0.0,-4.8,1.2,-3.6,-0.1,2013,cambyma01,  4590338 ,0.07822795207825628
68,DeMarre Carroll,SF,26,UTA,66,12,16.8,2.3,4.9,0.3,1.1,2.0,3.8,1.1,1.5,1.3,1.5,2.8,0.9,0.9,0.4,0.5,1.8,6.0,2.0,1.1,3.1,0.4,0.9,1.3,0.9,2013,carrode01,  885120 ,0.015084101637723888
69,Matt Carroll,SG,32,CHA,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.8,-3.2,-10.0,0.0,2013,carroma01,  3500000 ,0.059646551577225246
70,Vince Carter,SF,36,DAL,81,3,25.8,4.6,10.6,2.0,4.9,2.6,5.6,2.2,2.8,0.7,3.4,4.1,2.4,0.9,0.5,1.3,2.8,13.4,3.9,2.0,6.0,2.7,0.3,3.1,2.6,2013,cartevi01,  3090000 ,0.052659384106750286
71,Omri Casspi,SF,24,CLE,43,1,11.7,1.5,3.7,0.6,1.8,0.9,2.0,0.5,1.0,0.5,2.2,2.7,0.7,0.6,0.3,0.5,1.0,4.0,0.1,0.6,0.7,-0.8,0.7,-0.1,0.2,2013,casspom01,  2277306 ,0.03880955708174986
72,Mario Chalmers,PG,26,MIA,77,77,26.9,2.9,6.9,1.6,3.9,1.4,3.0,1.2,1.5,0.2,2.0,2.2,3.5,1.5,0.2,1.5,2.5,8.6,2.6,2.5,5.2,-0.5,0.9,0.4,1.3,2013,chalmma01,  4000000 ,0.06816748751682884
